User data and parameters: User data: in_both_human_symbol.txt, Organism: hsapiens, Id Type: gene_symbol, Ref Set: tsc_expressed_human_entrez.txt, Significance Level: .1, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for each enriched gene sets are listed in this table. For each pathway, the first row lists its gene set
name, and corresponding Gene Set ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the pathway are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


Pathway Commons pathway	IFN-gamma pathway	DB_ID:1529
C=1219;O=28;E=11.09;R=2.52;rawP=4.71e-06;adjP=3.15e-05
DNM1	NA	DNM1	dynamin 1	1759	ENSG00000106976

CSNK1G2	NA	CSNK1G2	casein kinase 1, gamma 2	1455	ENSG00000133275


Pathway Commons pathway	mTOR signaling pathway	DB_ID:1571
C=1212;O=27;E=11.03;R=2.45;rawP=1.25e-05;adjP=3.15e-05
DNM1	NA	DNM1	dynamin 1	1759	ENSG00000106976

CSNK1G2	NA	CSNK1G2	casein kinase 1, gamma 2	1455	ENSG00000133275

GAPDH	NA	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597	ENSG00000111640

EGR1	NA	EGR1	early growth response 1	1958	ENSG00000120738

RB1CC1	NA	RB1CC1	RB1-inducible coiled-coil 1	9821	ENSG00000023287

CACNA1G	NA	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit	8913	ENSG00000006283

HSPA8	NA	HSPA8	heat shock 70kDa protein 8	3312	ENSG00000109971

MAPK8IP3	NA	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	23162	ENSG00000138834

EPN1	NA	EPN1	epsin 1	29924	ENSG00000063245

KLC1	NA	KLC1	kinesin light chain 1	3831	ENSG00000256500,ENSG00000126214

NDRG2	NA	NDRG2	NDRG family member 2	57447	ENSG00000165795

KALRN	NA	KALRN	kalirin, RhoGEF kinase	8997	ENSG00000160145

FOXG1	NA	FOXG1	forkhead box G1	2290	ENSG00000176165

TF	NA	TF	transferrin	7018	ENSG00000091513

GDI1	NA	GDI1	GDP dissociation inhibitor 1	2664	ENSG00000203879

ARPC3	NA	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa	10094	ENSG00000111229

ENG	NA	ENG	endoglin	2022	ENSG00000106991

EXOC1	NA	EXOC1	exocyst complex component 1	55763	ENSG00000090989

EIF4G1	NA	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	1981	ENSG00000114867

PRKCG	NA	PRKCG	protein kinase C, gamma	5582	ENSG00000126583

ZFYVE28	NA	ZFYVE28	zinc finger, FYVE domain containing 28	57732	ENSG00000159733

GNAO1	NA	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	2775	ENSG00000087258

IQSEC1	NA	IQSEC1	IQ motif and Sec7 domain 1	9922	ENSG00000144711

DNM2	NA	DNM2	dynamin 2	1785	ENSG00000079805

PPARGC1A	NA	PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	10891	ENSG00000109819

PLEKHA2	NA	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2	59339	ENSG00000169499

MAPK10	NA	MAPK10	mitogen-activated protein kinase 10	5602	ENSG00000109339


Pathway Commons pathway	PDGF receptor signaling network	DB_ID:1497
C=1217;O=27;E=11.07;R=2.44;rawP=1.34e-05;adjP=3.15e-05
DNM1	NA	DNM1	dynamin 1	1759	ENSG00000106976

CSNK1G2	NA	CSNK1G2	casein kinase 1, gamma 2	1455	ENSG00000133275

GAPDH	NA	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597	ENSG00000111640

EGR1	NA	EGR1	early growth response 1	1958	ENSG00000120738

RB1CC1	NA	RB1CC1	RB1-inducible coiled-coil 1	9821	ENSG00000023287

CACNA1G	NA	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit	8913	ENSG00000006283

HSPA8	NA	HSPA8	heat shock 70kDa protein 8	3312	ENSG00000109971

MAPK8IP3	NA	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	23162	ENSG00000138834

EPN1	NA	EPN1	epsin 1	29924	ENSG00000063245

KLC1	NA	KLC1	kinesin light chain 1	3831	ENSG00000256500,ENSG00000126214

NDRG2	NA	NDRG2	NDRG family member 2	57447	ENSG00000165795

KALRN	NA	KALRN	kalirin, RhoGEF kinase	8997	ENSG00000160145

FOXG1	NA	FOXG1	forkhead box G1	2290	ENSG00000176165

TF	NA	TF	transferrin	7018	ENSG00000091513

GDI1	NA	GDI1	GDP dissociation inhibitor 1	2664	ENSG00000203879

ARPC3	NA	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa	10094	ENSG00000111229

ENG	NA	ENG	endoglin	2022	ENSG00000106991

EXOC1	NA	EXOC1	exocyst complex component 1	55763	ENSG00000090989

EIF4G1	NA	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	1981	ENSG00000114867

PRKCG	NA	PRKCG	protein kinase C, gamma	5582	ENSG00000126583

ZFYVE28	NA	ZFYVE28	zinc finger, FYVE domain containing 28	57732	ENSG00000159733

GNAO1	NA	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	2775	ENSG00000087258

IQSEC1	NA	IQSEC1	IQ motif and Sec7 domain 1	9922	ENSG00000144711

DNM2	NA	DNM2	dynamin 2	1785	ENSG00000079805

PPARGC1A	NA	PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	10891	ENSG00000109819

PLEKHA2	NA	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2	59339	ENSG00000169499

MAPK10	NA	MAPK10	mitogen-activated protein kinase 10	5602	ENSG00000109339


Pathway Commons pathway	Iron uptake and transport	DB_ID:980
